,Exit Plane Voxel Coordinates,Exit Plane RAS Coordinates,Center of Mass Voxel Coordinates,Center of Mass RAS Coordinates,Similarity Scores,Distances,Thicknesses
1,[138.08366632  75.07208228 220.44941616],[-44.18667273  -7.10757706  68.2820675 ],[139.75059938  74.32974809 224.00894904],[-45.91284856  -7.22278594  71.88859566],1.0,36.45,9.0
2,[142.58854914  76.22025025 218.20611477],[-48.63894052  -6.26514929  65.80976345],[144.65938854  75.59645045 221.57100677],[-50.76407269  -6.28838141  69.19846156],0.9996,36.46,9.0
3,[138.05925775  73.9949249  220.44401646],[-44.18391197  -8.17113113  68.45451523],[139.70666397  73.19086486 223.99922967],[-45.89175617  -8.34827062  72.06725544],0.9998,36.65,9.0
4,[139.22110462  76.09104323 220.38639832],[-45.30246185  -6.09288035  68.03422904],[140.99798834  75.36387783 223.89551711],[-47.13761777  -6.1994889   71.586811  ],0.9997,36.7,9.0
5,[138.05925775  73.9949249  220.44401646],[-44.18391197  -8.17113113  68.45451523],[139.70666397  73.19086486 223.99922967],[-45.89175617  -8.34827062  72.06725544],0.9998,36.65,10.0
6,[138.08366632  75.07208228 220.44941616],[-44.18667273  -7.10757706  68.2820675 ],[139.75059938  74.32974809 224.00894904],[-45.91284856  -7.22278594  71.88859566],1.0,36.45,10.0
7,[139.1978786   75.09830654 220.39957714],[-45.29941549  -7.0700981   68.21107809],[140.95618141  74.37695175 223.91923881],[-47.11601119  -7.16956833  71.77339288],1.0,36.87,10.0
8,[137.05170536  75.02356517 220.45388365],[-43.15603692  -7.17305954  68.31068858],[138.69306958  74.24241734 224.01699066],[-44.8574783   -7.32640986  71.92753557],0.9997,36.05,10.0
9,[138.11482835  76.08071876 220.43648767],[-44.19733556  -6.11449729  68.10272215],[139.80669105  75.34529376 223.98567772],[-45.94816471  -6.22415493  71.69752019],0.9997,36.27,10.0
10,[138.11482835  76.08071876 220.43648767],[-44.19733556  -6.11449729  68.10272215],[139.80669105  75.34529376 223.98567772],[-45.94816471  -6.22415493  71.69752019],0.9997,36.27,10.0

The given inputs were:
Area of choice: L_m1
Area coordinates: [-28.188163222811436, -6.326901173460143, 35.4680955846831] in RAS and in voxels: [123  82 188] 
Transducer model: CTX500
Gel pad thickness: 5.0
There was no surface points in the given radius so it was set the the minimum distance of 32

Searching through 125 possible placement positions
The script ran for 22.238052129745483 seconds
