MOT01,L_hippocampus,119.93801636802083,101.82991573214117,133.40449963713
MOT01,R_hippocampus,69.80071612808952,101.49228562069874,135.06481753390955
MOT01,L_caudate,108.97568010055399,120.87496329277295,166.25910230524983
MOT01,R_caudate,81.21347006742741,119.88477872112028,165.97308596481827
MOT01,L_ventralDC,106.00847995631344,104.89323387890734,139.4304463589853
MOT01,R_ventralDC,85.29890745448787,104.58845783087622,140.0283289953335
MOT01,brainstem,96.20665374472266,97.9293976101967,114.95912555850673
MOT01,L_m1,122.61939762815678,81.56819161686025,188.0152527676691
MOT01,L_thalamus,107.08806523876163,97.96267829989308,152.2524139816014
MOT01,R_m1,68.2469727013373,81.76857745985282,190.77211480385233
MOT01,R_thalamus,84.10275645053242,97.66010012785026,152.77065192625713
MOT01,L_S1,130.95981862475602,77.4784251277132,188.4226317523221
MOT01,R_S1,62.52521036157805,77.03187952679406,188.21959509381028
MOT01,L_SMAa,116.04570514354691,101.22074126004414,206.6930081495574
MOT01,R_SMAa,76.13803774277066,98.13459556651812,205.96513380630034
MOT01,L_SMAp,111.05353086691235,80.16777133094178,201.06694152824446
MOT01,R_SMAp,76.8543208959989,82.11979151608753,202.2796031360021
MOT01,L_SCEF,102.06790897978223,97.6467020905335,201.42880016924798
MOT01,R_SCEF,90.41422073186703,98.09091624743532,198.94003987413032
MOT01,L_dorsal6,128.2638104552243,78.88137217310309,198.7364191900159
MOT01,R_dorsal6,58.38882048730197,85.09344854042261,199.47470398434677
MOT01,L_ventral6,152.98748544306667,108.93947115528647,182.01197089558903
MOT01,R_ventral6,36.83301972190923,108.26513829483882,178.6969194484966
MOT01,L_rostral6,147.82939676296732,118.67936561663433,167.97627044304556
MOT01,R_rostral6,42.785146899280484,122.48491180224262,166.65327792881985
MOT01,L_anterior6,69.61098919902938,99.3650875922313,194.9264531937156
